,Unnamed: 0.1,Unnamed: 0,ID,Username,Review,AppRating,ThumbsUpCount,ReviewTime,CompanyReply,ReplyTime,AppVersion,result,sentiment,score
10,10,10,95c0aa1c-5c03-483f-9e40-80fa3b6d2926,girl dream78,Spotify is being greedy they ain't allowing us to pick our own song I might even switch to YouTube.,1,0,2024-04-10 11:29:52,,,8.8.90.893,"[{'label': 'NEGATIVE', 'score': 0.9994938373565674}]",NEGATIVE,0.9994938373565674
11,11,11,a3c49ce5-b8a6-4fa1-a66b-5c9e2658e9b6,Sunil Naik,Awesome,4,0,2024-04-10 11:29:47,,,,"[{'label': 'POSITIVE', 'score': 0.9986000657081604}]",POSITIVE,0.9986000657081604
12,12,12,e54f4891-2416-4db6-9642-0c1a97adbc9a,Jenny Boyd,Loving my trip down memory lane,5,0,2024-04-10 11:27:33,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9989001750946045}]",POSITIVE,0.9989001750946044
13,13,13,92fceb5b-c964-4a5c-857f-12deb2f0ce71,Sakina Mujtaba,Just good but the adds interept a lot.,4,0,2024-04-10 11:24:59,,,8.9.24.633,"[{'label': 'POSITIVE', 'score': 0.9985722303390503}]",POSITIVE,0.9985722303390504
14,14,14,78c28dac-502d-425b-ae98-199ccc22d2ad,GAGAN MOORMANI,Jio Savan is Greatest of all time Spotify is worst of all time JIO SAVAN 🔥👍🏻😆 SPOTIFY 🤮🤢 SPOTIFY BEGGING FOR MONEY 🤣,1,0,2024-04-10 11:23:30,,,,"[{'label': 'POSITIVE', 'score': 0.982798159122467}]",POSITIVE,0.982798159122467
15,15,15,fd1dbf0a-8711-4e1c-9100-de550dd4edaf,Yetzy Kee,"I don't understand why shuffle doesn't work anymore.. I have tried everything. Cleared cache, Uninstalled/reinstalled,updated, deleted data. Nothing works.. why???",3,0,2024-04-10 11:22:34,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9995076656341553}]",NEGATIVE,0.9995076656341552
16,16,16,5037486d-37af-4998-9bdf-019d587815c1,Maxine Kirsten,"I like this Spotify, and the playlist",5,0,2024-04-10 11:20:21,,,,"[{'label': 'POSITIVE', 'score': 0.998913049697876}]",POSITIVE,0.998913049697876
17,17,17,05cd7fce-b8a2-401e-9ea0-73c8afaa3d68,Gautam Keswani,I was expecting some good featured in free but it is not good 😐,3,0,2024-04-10 11:19:46,,,8.9.16.593,"[{'label': 'NEGATIVE', 'score': 0.9995050430297852}]",NEGATIVE,0.9995050430297852
18,18,18,37462d81-5868-41c4-890a-3c20def38170,Krushna patil,yuy,1,0,2024-04-10 11:17:41,,,8.8.76.667,"[{'label': 'POSITIVE', 'score': 0.9957776069641113}]",POSITIVE,0.9957776069641112
19,19,19,05076940-e2ab-4b73-9dd4-53667d165ce4,CROCATTO,Paid,1,0,2024-04-10 11:16:42,,,8.7.84.382,"[{'label': 'POSITIVE', 'score': 0.9857137203216553}]",POSITIVE,0.9857137203216552
20,20,20,877280ac-cf8f-4ac1-ad82-172fb8875a10,Egor Potapov,Local file syncing breaks sometimes,4,0,2024-04-10 11:15:31,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.996688187122345}]",NEGATIVE,0.996688187122345
21,21,21,996b7168-935c-4504-a407-6bc5b747251d,AMAN NEGI AMAN NEGI,Time waste app,1,0,2024-04-10 11:14:52,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9993783235549927}]",NEGATIVE,0.9993783235549928
22,22,22,813e0495-0fa3-4561-a80c-75e4dfbf4d3f,Mike Shanahan,I love this app and while you kinda have to use premium I don't mind for the perks that come with it. However since the most recent update this app has been so buggy making it difficult to use. I hit pause and then 20 seconds later the song stops. I click another song and ten seconds later it'll play. Needs some work,4,0,2024-04-10 11:09:11,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9989266991615295}]",NEGATIVE,0.9989266991615297
23,23,23,8a760426-07cd-4ce4-b126-ba82d974a645,Salman Halangali,All song is bad,1,0,2024-04-10 11:05:34,,,,"[{'label': 'NEGATIVE', 'score': 0.9994789958000183}]",NEGATIVE,0.9994789958000184
24,24,24,a114af30-8ddc-4c1a-97bd-cd0ec02d057e,Douglas Briggs,Excellent app,5,0,2024-04-10 11:02:41,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9987204074859619}]",POSITIVE,0.998720407485962
25,25,25,d40ef932-289f-4ee5-a661-5e3203d452dd,Dhanendra,It's good,5,0,2024-04-10 11:02:18,,,8.9.24.633,"[{'label': 'POSITIVE', 'score': 0.9981504082679749}]",POSITIVE,0.9981504082679749
26,26,26,4f5e0093-1195-4cc3-8fe7-10343a8962bb,Munawar Abbas,❤️,5,0,2024-04-10 11:02:00,,,8.8.6.472,"[{'label': 'POSITIVE', 'score': 0.9983048439025879}]",POSITIVE,0.998304843902588
27,27,27,39b49957-ebaf-4e77-9049-243c542dc4e8,Sumukha Bhagi,"Cant even seek songs, how convenient and how stupid....",1,0,2024-04-10 10:58:56,,,8.8.80.599,"[{'label': 'NEGATIVE', 'score': 0.9994502663612366}]",NEGATIVE,0.9994502663612366
28,28,28,ed45b383-db47-42e2-9788-31f9f5065a5e,Mohammed Yaseen,Best,3,0,2024-04-10 10:56:02,,,,"[{'label': 'POSITIVE', 'score': 0.9971845746040344}]",POSITIVE,0.9971845746040344
29,29,29,f9810e19-c600-47c4-9a71-ca67eb006ba8,James Magee,Love me some spotterpie,5,0,2024-04-10 10:54:55,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9980649352073669}]",POSITIVE,0.9980649352073668
30,30,30,39e40fb8-6fde-4e51-ae3c-e9ded55e8e41,Kuldeep Khorwal,"Very bad app Once you login and then logout, the account becomes not found, this is a fool app",1,0,2024-04-10 10:53:50,,,,"[{'label': 'NEGATIVE', 'score': 0.9995086193084717}]",NEGATIVE,0.9995086193084716
31,31,31,bf5d0e31-36d3-410f-b6e7-9145d2c19aa8,Aziz Amin,Power,5,0,2024-04-10 10:52:04,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9902620911598206}]",POSITIVE,0.9902620911598206
32,32,32,a1c5931f-8499-45e0-9796-9dce7f45fec1,Temuera Wilson,Music keeps going silent but still playing.,1,0,2024-04-10 10:51:42,"Hey there. As a heads-up, you should be able to turn off ""Smart Shuffle"" by tapping the button once. You can also find more info by heading over to support.spotify.com, then searching for ""Shuffle play"". In case you'd need further help, feel free to get in touch with our Customer Service by scrolling down, then selecting ""Contact Spotify"".",2023-04-17 03:35:47,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9957387447357178}]",NEGATIVE,0.9957387447357178
33,33,33,168395e2-0215-4a51-9d6b-fce1ec65598c,Kondababu Ambujalapu,Very good,5,0,2024-04-10 10:49:51,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9986018538475037}]",POSITIVE,0.9986018538475036
34,34,34,009d2ac4-0e70-46a3-af17-90c5c7ff1b43,Riley Davies,better than any other music seemingly app,5,0,2024-04-10 10:48:20,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9985901713371277}]",POSITIVE,0.9985901713371276
35,35,35,4045d2e6-2bcc-4d56-bad3-f33317e4ff3d,A Google user,Me encanta mucho 💕💕💕💕💕💕💕,5,0,2024-04-10 10:48:05,,,8.5.2.759,"[{'label': 'POSITIVE', 'score': 0.9985930323600769}]",POSITIVE,0.9985930323600768
36,36,36,f35e90a3-563c-4394-8275-ccc2dfebcf85,Saivenkatesh Kothavari,Worst experience ever,1,0,2024-04-10 10:47:31,"Hi! We’re sorry to hear this and we’ll pass your feedback along to the Ads team. For an ad free experience, we’d recommend checking out our Premium plans. If you’ve never had Premium before, you should be eligible for our trial. You can also check out other deals by heading over to spotify.com/premium.",2023-03-06 20:08:43,8.8.14.575,"[{'label': 'NEGATIVE', 'score': 0.9994839429855347}]",NEGATIVE,0.9994839429855348
37,37,37,f7711b9a-9ec3-4405-bd12-2fff28e6252a,Dynasty DIY,Spotify is the best app for music and podcasts. I especially love the Spotify Wrapped.,5,0,2024-04-10 10:43:01,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9987807869911194}]",POSITIVE,0.9987807869911194
38,38,38,7787e8ff-320f-4a9c-9aa8-ada61720bd5e,Rowena Siguenza,Its free and there are manyvsongs in this app,5,0,2024-04-10 10:36:14,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9980996251106262}]",POSITIVE,0.9980996251106262
39,39,39,84af7006-a2b1-46d5-83dc-ba4e39e17eab,miki yee,Fantastic,5,0,2024-04-10 10:32:15,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.998406708240509}]",POSITIVE,0.998406708240509
40,40,40,d2b6ea0d-97ad-447e-aaee-e008cd9db27c,Andrea Nicole Catilo,I like this app but there are a lot of ads,4,0,2024-04-10 10:31:26,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9865655303001404}]",POSITIVE,0.9865655303001404
41,41,41,adf24547-4d30-40ab-985e-ba87fb06d931,LáKeitha Nash,Love it!,5,0,2024-04-10 10:30:15,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9988498687744141}]",POSITIVE,0.998849868774414
42,42,42,65db13ba-a18c-4e98-939b-3e740391897e,K. Kanchan,Nice 👍,5,0,2024-04-10 10:29:59,,,,"[{'label': 'POSITIVE', 'score': 0.9986405968666077}]",POSITIVE,0.9986405968666076
43,43,43,92488c46-c7f5-4d00-bee6-fba69eda159d,Oluwadimu O.M,Good very goid,5,0,2024-04-10 10:28:24,,,8.9.12.599,"[{'label': 'POSITIVE', 'score': 0.9984039664268494}]",POSITIVE,0.9984039664268494
44,44,44,d905c539-37fd-40a1-a366-15a9fd72ea77,Rosco Dior,Had it befo,5,0,2024-04-10 10:27:34,,,,"[{'label': 'NEGATIVE', 'score': 0.7174879908561707}]",NEGATIVE,0.7174879908561707
45,45,45,14b58d3b-3803-46b1-a329-399ba8ba6572,Funtime Foxy,"Amazing! My family loves this app, it works well, doesn't have to many ad's, and it has a lot of songs!",5,0,2024-04-10 10:24:27,,,8.9.24.633,"[{'label': 'POSITIVE', 'score': 0.9989292025566101}]",POSITIVE,0.99892920255661
46,46,46,b6233179-e237-4851-bbf8-d81b6a9c547d,Sathishperumal P,Good👍,5,0,2024-04-10 10:23:47,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9985754489898682}]",POSITIVE,0.9985754489898682
47,47,47,19076ee5-77d0-463f-b038-e5890988bdef,Tronin’s Hive,Either I'm dumb or the people who made this are. Can someone explain to me why when I look up a specific song I have to listen to a bunch of other songs before I hear the one I actually typed in.,1,0,2024-04-10 10:22:24,"Hi! We’re sorry to hear this and thanks for letting us know. We’d like to investigate further. If you have time, could you reach out to our Customer Support team again with a screenshot of your review and our reply? You can find them on X and Facebook (@SpotifyCares), or via live messaging at https://support.spotify.com/contact-spotify-anonymous/.",2024-04-10 10:33:49,8.9.24.633,"[{'label': 'NEGATIVE', 'score': 0.9994841814041138}]",NEGATIVE,0.9994841814041138
48,48,48,b5265c9a-2ede-4114-a179-31c0b3796ec4,Abhilash Sahu,"Hey, I'm prime customer of Spotify. What a bad experience, Always Play that song which i have already heard.This is very very bad experience. I don't use no longer Spotify, - Thank you ,Experience",1,0,2024-04-10 10:21:11,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9995054006576538}]",NEGATIVE,0.9995054006576538
49,49,49,a2e64a2b-f70f-4760-b5d7-20148b16c842,K Stalin,song,5,0,2024-04-10 10:12:09,,,,"[{'label': 'POSITIVE', 'score': 0.9899553060531616}]",POSITIVE,0.9899553060531616
50,50,50,dc2606d9-f51b-441b-9c60-cc9b93a5b998,jairus matthew,"Very worst now a days if I hear 15 min song i can't play song anymore it limited, very worst",1,0,2024-04-10 10:11:59,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9994901418685913}]",NEGATIVE,0.9994901418685912
51,51,51,3d390c92-1e42-48bc-8fd2-125d438c060d,Shridhar Bharti,App open karne par bhi charge lo so you will get more money 😠😠😠😠,1,0,2024-04-10 10:11:57,,,,"[{'label': 'POSITIVE', 'score': 0.9979078769683838}]",POSITIVE,0.9979078769683838
52,52,52,837703a8-4b62-41ad-8866-e2c813ac3e8b,Wendell P,That have very GOOD music on this app,5,0,2024-04-10 10:08:21,,,,"[{'label': 'POSITIVE', 'score': 0.9984487295150757}]",POSITIVE,0.9984487295150756
53,53,53,3fb243a6-a47a-48e8-9b54-dffa45808dda,Sara Mohamed,Extremely toxic they don't care about you or how harmful it could be and unexplainable activities,1,0,2024-04-10 10:06:31,,,,"[{'label': 'NEGATIVE', 'score': 0.9994446635246277}]",NEGATIVE,0.9994446635246276
54,54,54,4f45be16-fa6d-4093-b79e-9d31ff928f74,hossain khan,Bangladesh,5,0,2024-04-10 10:01:51,,,,"[{'label': 'NEGATIVE', 'score': 0.9392834305763245}]",NEGATIVE,0.9392834305763244
55,55,55,44f8ec3d-5b57-4643-9e58-8a953ec05346,DEVIL DEVIL,Best,5,0,2024-04-10 10:00:25,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9971845746040344}]",POSITIVE,0.9971845746040344
56,56,56,595e1cf8-f074-4d70-94ff-3aa648713f65,Sonam Parveen,Need more work,1,0,2024-04-10 09:57:05,,,,"[{'label': 'NEGATIVE', 'score': 0.9990556836128235}]",NEGATIVE,0.9990556836128236
57,57,57,b7a2a851-0259-4cfd-8dad-f0127f3c019d,Nicole Campbell,Not a fan or the prices increase of $3 for a family account.,3,0,2024-04-10 09:56:44,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9995007514953613}]",NEGATIVE,0.9995007514953612
58,58,58,1cc8ae37-a651-491b-afce-734a1cd5b1f5,Noah Alexander,can you make it so people that don't want to buy it can use it withouit all of the ads during the best songs that peeople will listen to.,5,0,2024-04-10 09:55:56,,,8.8.82.634,"[{'label': 'NEGATIVE', 'score': 0.999086856842041}]",NEGATIVE,0.999086856842041
59,59,59,a16918fa-595a-4337-8767-138d23f81e75,Amogelang Maje,Because it download alot of music,3,0,2024-04-10 09:49:17,,,,"[{'label': 'POSITIVE', 'score': 0.9817746877670288}]",POSITIVE,0.9817746877670288
60,60,60,ecd7cc26-271d-4d63-a3a8-6332f7e58069,Khloe Mendez,this app is my life.,5,0,2024-04-10 09:48:57,,,8.8.96.364,"[{'label': 'POSITIVE', 'score': 0.9986729621887207}]",POSITIVE,0.9986729621887208
61,61,61,ace53943-7015-4ca4-bc2a-b9bbfae05769,Greg Boulden,Love Spotify,5,0,2024-04-10 09:45:18,,,8.9.24.633,"[{'label': 'POSITIVE', 'score': 0.9986028075218201}]",POSITIVE,0.99860280752182
62,62,62,1335c20f-a025-485a-889c-4534943d0e07,SIBIL IRSHAD,Whatever.. The Quality The UI The Song Collection Awesome...,5,0,2024-04-10 09:39:25,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9986571073532104}]",POSITIVE,0.9986571073532104
63,63,63,ab84c9a3-7eeb-48fc-8c55-f0dc6d69ba31,Tina Sharinna,Ok,5,0,2024-04-10 09:36:02,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9943147301673889}]",NEGATIVE,0.9943147301673888
64,64,64,69a9dd6c-b89b-4469-abc1-5cbe1f726fcc,Mosibudi Khsaz,Mosibudi khsa,5,0,2024-04-10 09:32:13,,,,"[{'label': 'NEGATIVE', 'score': 0.9543498158454895}]",NEGATIVE,0.9543498158454896
65,65,65,572cec01-a7b1-47a1-8012-b32893788cca,Kuldeepsinh Raol,If I want to listen to a single song back then paying money for that too is a hell of a robbery.,1,0,2024-04-10 09:32:05,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9969931840896606}]",NEGATIVE,0.9969931840896606
66,66,66,45244ba2-af40-44c3-a3d6-78c86a17a940,Julianna Castillo,Love Spotify great choice of music ....to listen to .,5,0,2024-04-10 09:29:49,,,,"[{'label': 'POSITIVE', 'score': 0.9988443851470947}]",POSITIVE,0.9988443851470948
67,67,67,d96ad392-97ed-40d2-9cf5-548c7f6b0ddb,Jean Paul Lees,Its is the best app every for all my Music!!!!! I'm very happy with this app!!!,5,0,2024-04-10 09:29:45,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9989153146743774}]",POSITIVE,0.9989153146743774
68,68,68,1e2d35f3-40a5-4553-9178-2cfdc31dc2c1,Maxwell Comer,"As a free spotify user, it is the most miserable experience ever",3,0,2024-04-10 09:28:42,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9994916915893555}]",NEGATIVE,0.9994916915893556
69,69,69,bb8d88e6-3cd8-42c2-9051-8281593f21ee,Jagdish Dhami,"Now a days Spotify is aiming for money and money. Without premium you can't do anything, even there is a limit to skip a song without premium, it is too much.",2,0,2024-04-10 09:26:09,,,,"[{'label': 'NEGATIVE', 'score': 0.9991815686225891}]",NEGATIVE,0.9991815686225892
70,70,70,f714b94d-ab67-4e4f-913e-0aed9ac8605b,Mansi,Worst app!,1,0,2024-04-10 09:24:00,,,,"[{'label': 'NEGATIVE', 'score': 0.9994834661483765}]",NEGATIVE,0.9994834661483764
71,71,71,3cad49bd-f94f-452f-816f-40180e21b370,Prakash verma Verma,Oh x kickback bark call Caldwell,5,0,2024-04-10 09:23:41,,,,"[{'label': 'NEGATIVE', 'score': 0.9916446805000305}]",NEGATIVE,0.9916446805000304
72,72,72,75b276fa-cbe0-43e6-af40-a33144c4ce00,Ethan,Buggy glitchy garbage,1,4,2024-04-10 09:18:23,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.999438464641571}]",NEGATIVE,0.999438464641571
73,73,73,c0168f62-57ad-47ab-bd78-e02f6e6270fc,Ramprasad Jadhav,Ad 😌😏,1,0,2024-04-10 09:15:42,,,,"[{'label': 'POSITIVE', 'score': 0.9984459280967712}]",POSITIVE,0.9984459280967712
74,74,74,14419d3b-6342-4a24-923e-21ddf33da7b0,gemmelli khushi,Goog,5,0,2024-04-10 09:13:55,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.8966501951217651}]",NEGATIVE,0.8966501951217651
75,75,75,006a4e3f-602b-46d5-a602-ccffb7c82aba,Maureen Scott,"Great music, I love the oldies and some of the new ones that make you feel good. Please keep the Vibes coming.",5,0,2024-04-10 09:12:22,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9988699555397034}]",POSITIVE,0.9988699555397034
76,76,76,a547c1f1-df1e-4278-a274-4b5b76745332,Rahul kumar,You just lost your audience 😐,1,0,2024-04-10 09:11:17,,,,"[{'label': 'NEGATIVE', 'score': 0.9994383454322815}]",NEGATIVE,0.9994383454322816
77,77,77,4424048a-8fbf-42cf-99a7-9dc091f777f8,Verdinansyah Sjamsuddin,I like it,5,0,2024-04-10 09:10:57,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.998838484287262}]",POSITIVE,0.998838484287262
78,78,78,97236a7c-d0e1-42e9-b6e3-01e1a73eca72,Enid Ford,best music listening experience.,5,0,2024-04-10 09:10:55,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9986670017242432}]",POSITIVE,0.9986670017242432
79,79,79,5e9bd89e-8b1f-429c-863d-3de5f91d4e08,Isaiah Gonzalez,Good songs,5,0,2024-04-10 09:05:04,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9986830353736877}]",POSITIVE,0.9986830353736876
80,80,80,9783264b-4d97-4503-9e72-16686210c33b,anisha sd,"There are way too many ads. When clicked on a song it never played the one which I clicked on, and started playing some random recommended song.",1,0,2024-04-10 09:04:47,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9995012283325195}]",NEGATIVE,0.9995012283325196
81,81,81,552cc9d1-4446-470f-ab5f-0984e46833c4,Shale N,"Save a song? App freezes. Try to add a song to a Playlist? Freezes. Try to remove the awful smart shuffle from your large Playlist? Freezes then gets stuck on while bloating your Playlist... The smart shuffle is especially the worst, it takes over your Playlist then makes it by ""Spotify"" as well as you, and its extremely hard to remove. I can't even pause songs sometimes, the app just freezes and ignores inputs. By using the app you make it freeze (and can't use it?). It also will just crash...",1,14,2024-04-10 09:02:27,"Hi there! Have you tried a quick reinstall? If that doesn't help, we'd recommend reaching out to our Customer Service at http://support.spotify.com. Just search “Contact Us”, and they'll be happy to help.",2024-04-10 09:19:17,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.999504566192627}]",NEGATIVE,0.999504566192627
82,82,82,c5aa8fcf-899d-49c6-83ce-8c105dfd1cc8,Sanjukta Mandal,I think this is very good app 😍😍😍,5,0,2024-04-10 09:00:05,,,8.9.20.574,"[{'label': 'POSITIVE', 'score': 0.9987584352493286}]",POSITIVE,0.9987584352493286
83,83,83,8bcb46be-8c3a-4a6f-8561-6e21f6b95c5d,kenny,It was used to be the best and now it's the WORST app pft,1,0,2024-04-10 08:59:57,,,8.8.96.364,"[{'label': 'NEGATIVE', 'score': 0.9994945526123047}]",NEGATIVE,0.9994945526123048
84,84,84,3bfeaf05-2f10-4575-a655-a7de79f68e83,Mitesh patel,V good,5,0,2024-04-10 08:58:50,,,8.9.24.633,"[{'label': 'POSITIVE', 'score': 0.9985159039497375}]",POSITIVE,0.9985159039497375
85,85,85,5822368f-2667-499a-95f3-eb8afd2eb8ce,felineFatale Robin,"I've been using spotify for years now, and today just made me snap. I get the video add, the one that says I'll get 30 minutes free from ads once it's done. I don't close the app, I leave my phone on, I don't even look at notifications. The first song didn't vibe, so I skipped it. ONLY TO GET FIVE MORE ADS. Nope. Unless this app can actually hold to their damn promises, I won't be using it again for a long while. This is ridiculous and I am tired of pretending otherwise.",1,0,2024-04-10 08:55:29,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9994955062866211}]",NEGATIVE,0.9994955062866212
86,86,86,80ad5b87-3351-4aff-b3bd-dd1e0d7fe4f5,Winder Singh,✌️👆👍👍👍👍👍,5,0,2024-04-10 08:55:09,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9984627962112427}]",POSITIVE,0.9984627962112428
87,87,87,2a821c97-5de9-49ff-8e72-f5570fd83a48,rioslatino,Normalise volumen removed? Why this function was removed? Bring it back asap. Spotify has decreased a lot on its quality... is becoming really useless... and why do I need to contact support? This is a feature that is needed. Plus the subscription is really expensive... you should move,1,0,2024-04-10 08:49:51,"Hey there! We're open to feedback, and we’d love to get some more info about this. If you have the time, give our Customer Service a shout. You can find them by heading to http://support.spotify.com and searching ""Contact us"".",2024-04-10 09:02:18,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9993703961372375}]",NEGATIVE,0.9993703961372375
88,88,88,4c7e52cc-b53f-43d3-a433-0249c482ef5d,Jordan,Add a way to custom the look! I feel like that's the only thing spotify needs at this point 👌,5,0,2024-04-10 08:48:45,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9984182119369507}]",POSITIVE,0.9984182119369508
89,89,89,d706ca38-9869-40d0-9d67-0d553e84e2e3,Mark,Good stuff and I'm glad to hear it,5,0,2024-04-10 08:45:12,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9989092350006104}]",POSITIVE,0.9989092350006104
90,90,90,112cd7db-bd71-492a-800a-1cade47062ab,Gavin Baker,I cant play the song I want without spotify premium plus there is too much ads. 0/10,1,0,2024-04-10 08:38:37,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9995095729827881}]",NEGATIVE,0.999509572982788
91,91,91,6183f956-3c79-4486-9620-721a19d71fc8,Hamza Boutahar,Good but we want the heart back,5,0,2024-04-10 08:37:39,,,8.9.26.592,"[{'label': 'POSITIVE', 'score': 0.9955742359161377}]",POSITIVE,0.9955742359161376
92,92,92,cd632a1d-318f-4a82-b97a-6b6b39a64aad,Phoenixx “Phoe_nixx”,"i use this app nearly daily, and its okay. im fine with the free version, though i have had 6+ ads before. my main issue is the fact that in recent months, the app closes on its own and stops playing the song im listening to. it also restarts the song from the beginning. it's extremely annoying because i dont like having to listen to the same song twice, especially due to the error of the app. i have asked a friend about if they have this issue and they do too, so i know it isnt just my phone.",3,0,2024-04-10 08:35:13,"Hi there! Have you tried a quick reinstall? If that doesn't help, we'd recommend reaching out to our Customer Service at http://support.spotify.com. Just search “Contact Us”, and they'll be happy to help.",2024-04-10 08:52:13,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9988396763801575}]",NEGATIVE,0.9988396763801576
93,93,93,ea690091-b020-4a39-8e49-822d38dd40e9,Prince kumar,Spotify sucks more now,1,0,2024-04-10 08:30:52,,,8.9.26.592,"[{'label': 'NEGATIVE', 'score': 0.9994311928749084}]",NEGATIVE,0.9994311928749084
